"","IDy","ID_Parcelle","type_prod","Autres outils","Charrue","Outil à dents","Outil à disques","Outil rotatif","Pas de travail du sol","nb_tot_trav_sol","Fertilisation (autre)","Fertilisation minérale","Fertilisation organique","Fertilisation organo-minérale","Pas de fertilisation","nb_tot_ferti","tot_azote","Désherbage complet","Désherbage partiel","Désherbage sélectif","Enherbement total","Information inconnue.x","Pas de désherbage","nb_tot_herb","N_trait","N_trait_k","N_missing","IFT_herbi","IFT_insec","IFT_fongi","IFT_tot","IFT_tot2","Animaux de pâture","Autres (non chimiques)","Broyage ou tonte sans ramassage","Fauchage avec exportation des fauches","Fauchage sans exportation des fauches","Herbicide non sélectif de contact","Herbicide non sélectif systémique","Herbicide sélectif antidicotylédones","Herbicide sélectif antigraminées","Information inconnue.y","Intervention chimique (indéfini)","Intervention mécanique (indéfini)","Pas d'intervention","Tonte avec ramassage","nb_tot_int","nb_int_non_ch","nb_int_chim"
"375","156_2014",156,"Conventionnel",0,1,1,0,1,0,3,0,4,0,0,0,4,196,0,0,1,0,0,0,1,5,5,0,1.6,0,0,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"376","156_2015",156,"Conventionnel",0,2,0,0,1,0,3,0,1,1,0,0,2,45,0,0,2,0,0,0,2,13,13,0,6.95833333333333,0,2.02631578947368,8.98464912280702,8.98464912280702,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"377","156_2016",156,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,6,364,NA,NA,NA,NA,NA,NA,NA,20,20,0,8.63333333333333,0,0,8.63333333333333,8.63333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","156_2017",156,"Conventionnel",0,2,0,0,2,0,4,0,1,1,0,0,2,159.16,NA,NA,NA,NA,NA,NA,NA,6,6,0,0,0,1.95,1.95,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","157_2012",157,"Conventionnel",1,0,0,0,0,0,1,0,1,0,0,0,1,167,0,0,2,0,0,0,2,20,20,0,0,4.16666666666667,0.793964912280702,4.96063157894737,4.96063157894737,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"380","157_2013",157,"Conventionnel",3,0,0,0,0,0,3,1,0,0,0,0,1,90,0,0,3,0,0,0,3,9,9,0,3.87416666666667,0,0,4.67416666666667,3.87416666666667,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"381","157_2014",157,"Conventionnel",1,0,0,2,0,0,3,4,0,1,0,0,5,183,0,0,3,0,0,0,3,22,22,0,9.14833333333333,0,1.6,12.9683333333333,10.7483333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"382","157_2015",157,"Conventionnel",0,0,0,2,0,0,2,0,2,0,0,0,2,86,1,0,2,0,0,0,3,24,16,8,2.66,1.04819277108434,5.1,9.27694277108434,8.80819277108434,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"383","157_2016",157,"Conventionnel",0,0,0,1,0,0,1,0,3,0,0,0,3,160,0,0,2,0,0,0,2,15,15,0,7.49289473684211,0,0.5,9.07860902255639,7.99289473684211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"384","157_2017",157,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,2,106,0,0,1,0,0,0,1,17,15,2,3.63333333333333,0,3.47578947368421,7.10912280701754,7.10912280701754,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"385","158_2012",158,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"386","158_2013",158,"Conventionnel",1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"387","158_2014",158,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,3,0,0,0,3,126,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"388","158_2015",158,"Conventionnel",0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","158_2016",158,"Conventionnel",0,0,0,0,0,1,0,0,3,0,0,0,3,100.5,0,0,0,0,0,1,0,8,8,0,0,0,4.71,4.71,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","158_2017",158,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","159_2012",159,"Conventionnel",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,11,11,0,3.6,0,0,3.6,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"392","159_2013",159,"Conventionnel",0,0,1,0,0,0,1,0,3,0,0,0,3,146,0,0,3,0,0,0,3,3,3,0,3.14,0,0,3.14,3.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"393","159_2014",159,"Conventionnel",0,0,0,1,0,0,1,0,4,0,0,0,4,705,0,0,4,0,0,0,4,11,11,0,2.55222222222222,3.33333333333333,0.39,6.27555555555556,6.27555555555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"394","159_2015",159,"Conventionnel",0,0,0,0,0,1,0,0,4,0,0,0,4,173,0,0,3,0,0,0,3,21,10,11,0.266666666666667,1.66666666666667,5.85964912280702,7.79298245614035,7.79298245614035,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"395","159_2016",159,"Conventionnel",0,0,1,0,0,0,1,0,1,0,0,0,1,72,NA,NA,NA,NA,NA,NA,NA,25,15,10,4.72638095238095,2.33333333333333,1.2,8.25971428571428,8.25971428571428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","159_2017",159,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,3,0,0,0,3,155,NA,NA,NA,NA,NA,NA,NA,36,27,9,7.9,5,2.58,15.48,15.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","16_2012",16,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,6,6,0,1.86666666666667,0,3.68,5.54666666666667,5.54666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","16_2013",16,"Conventionnel",0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,4,2,2,0,0,0,0,1.14285714285714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"399","16_2014",16,"Conventionnel",0,0,0,1,0,0,1,0,4,0,0,0,4,113.5,0,0,6,0,0,0,6,21,19,2,4.59978354978355,0,4.08454545454545,9.884329004329,8.684329004329,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"400","16_2015",16,"Conventionnel",0,0,2,0,1,0,3,0,3,0,0,0,3,173,1,0,1,0,0,0,2,36,31,5,8.19790476190476,2.625,1.808,14.6975714285714,12.6309047619048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"401","16_2016",16,"Conventionnel",0,0,2,0,1,0,3,0,3,0,0,0,3,223,1,0,2,0,0,0,3,15,15,0,2.3375,2.625,2.4,7.3625,7.3625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"402","16_2017",16,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,4,0,0,0,4,176,0,0,1,0,0,0,1,30,30,0,12.6277683134583,0,4.7,18.3944349801249,17.3277683134583,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"403","160_2012",160,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"404","160_2013",160,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"405","160_2014",160,"Conventionnel",1,1,0,0,0,0,2,0,2,0,0,0,2,96,0,0,2,0,0,0,2,12,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"406","160_2015",160,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","160_2016",160,"Conventionnel",0,1,0,0,0,0,1,0,1,0,0,0,1,130,NA,NA,NA,NA,NA,NA,NA,5,5,0,6.425,0,0,6.425,6.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","160_2017",160,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","161_2012",161,"Biologique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","161_2013",161,"Biologique",3,2,1,0,1,0,7,0,0,1,0,0,1,70,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0
"411","161_2014",161,"Biologique",1,0,2,0,0,0,3,0,0,1,0,0,1,70,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","161_2015",161,"Biologique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","161_2016",161,"Biologique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","161_2017",161,"Biologique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","162_2012",162,"Conventionnel",0,0,2,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"416","162_2013",162,"Conventionnel",2,0,2,1,0,0,5,0,2,0,0,0,2,156,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"417","162_2014",162,"Conventionnel",1,0,0,0,0,0,1,0,4,0,0,0,4,408,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","162_2015",162,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","162_2016",162,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","162_2017",162,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","163_2012",163,"Conventionnel",0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"422","163_2013",163,"Conventionnel",0,0,1,1,0,0,2,2,4,0,0,0,6,282,0,0,4,0,0,0,4,7,2,5,0,0,1.28,1.28,1.28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"423","163_2014",163,"Conventionnel",0,0,1,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,24,10,14,1.05,0.8,0,4.25,1.85,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"424","163_2015",163,"Conventionnel",0,0,0,1,0,0,1,0,3,0,0,0,3,148,0,0,2,0,0,0,2,17,8,9,0,1.19277108433735,4,5.19277108433735,5.19277108433735,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"425","163_2016",163,"Conventionnel",0,0,1,2,1,0,4,0,1,0,0,0,1,26,0,0,4,0,0,0,4,24,12,12,1.33333333333333,0,6.28,7.61333333333333,7.61333333333333,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"426","163_2017",163,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,3,0,0,0,3,145,0,0,2,0,0,0,2,22,22,0,7.85555555555556,0,0,7.85555555555556,7.85555555555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"427","164_2012",164,"Conventionnel",0,1,0,1,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,14,9,5,0.533333333333333,0,2.81578947368421,4.96512280701754,3.34912280701754,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"428","164_2013",164,"Conventionnel",0,0,0,1,0,0,1,0,3,0,0,0,3,158,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"429","164_2014",164,"Conventionnel",0,0,1,0,1,0,2,0,1,0,0,0,1,50,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"430","164_2015",164,"Conventionnel",0,0,0,0,0,1,0,0,1,0,0,1,1,50,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"431","164_2016",164,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"432","164_2017",164,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"433","165_2012",165,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","165_2013",165,"Conventionnel",0,0,0,0,1,0,1,0,3,0,0,0,3,119,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"435","165_2014",165,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","165_2015",165,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","165_2016",165,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","165_2017",165,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","166_2012",166,"Conventionnel",1,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"440","166_2013",166,"Conventionnel",2,0,2,2,0,0,6,0,5,0,0,0,5,212,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,3,0
"441","166_2014",166,"Conventionnel",2,0,1,1,0,0,4,0,5,0,0,0,5,207,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","166_2015",166,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","166_2016",166,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","166_2017",166,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","167_2012",167,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,17,12,5,3.73333333333333,0,0.426666666666667,4.16,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","167_2013",167,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,4,132.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"447","167_2014",167,"Conventionnel",0,2,0,2,0,0,4,0,2,0,0,0,2,58.02,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"448","167_2015",167,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"449","167_2016",167,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","167_2017",167,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","168_2012",168,"Conventionnel",1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"452","168_2013",168,"Conventionnel",0,1,0,1,0,0,2,0,6,1,0,0,7,392.66,0,0,2,0,0,0,2,2,2,0,0.915,0,0,0.915,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","168_2014",168,"Conventionnel",0,0,3,1,0,0,4,0,2,0,0,0,2,168,0,0,4,0,0,0,4,30,25,5,5.33230576441103,0,5.45666666666667,10.7889724310777,10.7889724310777,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"454","168_2015",168,"Conventionnel",0,0,3,0,0,0,3,0,2,0,0,0,2,50.89,0,0,2,0,0,0,2,26,26,0,7.638,1.19277108433735,1.33333333333333,10.1641044176707,10.1641044176707,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"455","168_2016",168,"Conventionnel",0,1,2,0,0,0,3,0,2,0,0,0,2,0,2,0,3,0,0,0,5,27,27,0,6.95766666666667,2.77777777777778,5.16666666666667,14.9021111111111,14.9021111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","168_2017",168,"Conventionnel",0,0,3,0,0,0,3,0,4,0,0,0,4,30,NA,NA,NA,NA,NA,NA,NA,30,30,0,8.61809523809524,2.88888888888889,6.33333333333333,17.8403174603175,17.8403174603175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","169_2012",169,"Conventionnel",0,0,1,0,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"458","169_2013",169,"Conventionnel",0,2,1,0,2,0,5,0,1,0,0,0,1,78,0,0,4,0,0,0,4,24,22,2,7.18333333333333,1.44444444444444,0,8.62777777777778,8.62777777777778,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"459","169_2014",169,"Conventionnel",0,0,0,0,0,1,0,0,3,0,0,0,3,163,0,0,3,0,0,0,3,16,11,5,3.13333333333333,0,0,3.13333333333333,3.13333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"460","169_2015",169,"Conventionnel",0,1,2,0,0,0,3,0,4,0,0,0,4,115.5,0,0,4,0,0,0,4,22,1,21,0.625,0,0,0.625,0.625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"461","169_2016",169,"Conventionnel",0,1,0,1,1,0,3,0,5,0,0,0,5,267.25,0,0,1,0,0,0,1,13,13,0,5.57142857142857,0,0,5.57142857142857,5.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","169_2017",169,"Conventionnel",0,1,3,0,2,0,6,4,5,0,0,0,9,201.87,0,0,6,0,0,0,6,10,7,3,0,0,3.29,3.29,3.29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0
"463","17_2012",17,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","17_2013",17,"Conventionnel",0,1,1,0,1,0,3,0,1,1,0,0,2,600,0,0,1,0,0,0,1,4,4,0,2.02857142857143,0,0,2.02857142857143,2.02857142857143,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"465","17_2014",17,"Conventionnel",1,2,1,0,1,0,5,2,0,1,0,0,3,143,0,0,3,0,0,0,3,1,1,0,0,0,0.16,0.16,0.16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"466","17_2015",17,"Conventionnel",0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,22,20,2,5.43809523809524,5.85,0,11.2880952380952,11.2880952380952,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"467","17_2016",17,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","17_2017",17,"Conventionnel",0,1,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,4,4,0,1.25,0,0,1.25,1.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"469","170_2012",170,"Conventionnel",0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","170_2013",170,"Conventionnel",0,1,2,1,2,0,6,0,0,0,3,0,3,292,0,0,1,0,0,0,1,16,2,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"471","170_2014",170,"Conventionnel",0,1,0,0,2,0,3,0,2,0,0,0,2,252,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","170_2015",170,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
