"","IDy","ID_Parcelle","type_prod","Autres outils","Charrue","Outil à dents","Outil à disques","Outil rotatif","Pas de travail du sol","nb_tot_trav_sol","Fertilisation (autre)","Fertilisation minérale","Fertilisation organique","Fertilisation organo-minérale","Pas de fertilisation","nb_tot_ferti","tot_azote","Désherbage complet","Désherbage partiel","Désherbage sélectif","Enherbement total","Information inconnue.x","Pas de désherbage","nb_tot_herb","N_trait","N_trait_k","N_missing","IFT_herbi","IFT_insec","IFT_fongi","IFT_tot","IFT_tot2","Animaux de pâture","Autres (non chimiques)","Broyage ou tonte sans ramassage","Fauchage avec exportation des fauches","Fauchage sans exportation des fauches","Herbicide non sélectif de contact","Herbicide non sélectif systémique","Herbicide sélectif antidicotylédones","Herbicide sélectif antigraminées","Information inconnue.y","Intervention chimique (indéfini)","Intervention mécanique (indéfini)","Pas d'intervention","Tonte avec ramassage","nb_tot_int","nb_int_non_ch","nb_int_chim"
"21","101_2014",101,"Conventionnel",0,0,0,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,3,10,5,5,1.77777777777778,0,1.57894736842105,3.35672514619883,3.35672514619883,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"22","101_2015",101,"Conventionnel",0,0,0,1,0,0,1,0,5,0,0,0,5,211,0,0,1,0,0,0,1,40,35,5,13.6791111111111,2.7,1,17.3791111111111,17.3791111111111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"23","101_2016",101,"Conventionnel",0,0,1,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,0,8.57827380952381,0,0,8.57827380952381,8.57827380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","101_2017",101,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","102_2012",102,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","102_2013",102,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,7,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"27","102_2014",102,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,3,4,4,0,0.583333333333333,0,1,1.58333333333333,1.58333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"28","102_2015",102,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,2,154,0,0,2,0,0,0,2,39,37,2,4.71666666666667,2.5,0,14.7166666666667,7.21666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"29","102_2016",102,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,27,27,0,3.98,2.5,0,7.33714285714286,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","102_2017",102,"Conventionnel",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,6,6,0,0.7125,0,0,0.7125,0.7125,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
